text,emotion
"This is so dry and boring, I can't stay focused.",Bored
Why do we need to learn this? It has no real-world use.,Bored
I am falling asleep reading these slides.,Bored
This topic is completely uninteresting to me.,Bored
"I don't care about this formula, it's just memorization.",Bored
This lecture feels like it's going on forever.,Bored
"I'm just staring at the screen, totally unengaged.",Bored
None of this seems relevant to what I actually want to do.,Bored
I find this subject incredibly dull.,Bored
Why is this module so tedious?,Bored
I am losing interest in this class rapidly.,Bored
This is just repetitive busywork.,Bored
I'm bored out of my mind with these programming exercises.,Bored
"This math proof is so dry, I can't bring myself to study it.",Bored
I've lost all motivation to complete this reading list.,Bored
I completely understand how this algorithm works now!,Confident
"This makes perfect sense, it's very logical.",Confident
I solved all the practice problems on my first try.,Confident
I feel fully prepared for the upcoming exam.,Confident
This concept is very easy for me to grasp.,Confident
I can explain this topic to my classmates without any issues.,Confident
I've got a solid handle on this material.,Confident
The lab was straightforward and I finished it early.,Confident
I'm confident I can write this script from scratch.,Confident
This is clicking for me perfectly.,Confident
I know exactly how to debug this issue now.,Confident
I have mastered this chapter already.,Confident
This assignment is going to be a breeze.,Confident
I understand the theory and the application completely.,Confident
"I've got this, no extra help needed.",Confident
I am completely lost on how recursion works.,Confused
What does this equation actually represent?,Confused
I don't understand the difference between these two terms.,Confused
Can you explain this logic step-by-step again?,Confused
I don't get why we use a pointer here.,Confused
The lecture explanation went completely over my head.,Confused
I'm struggling to see how these two concepts connect.,Confused
I don't know where to start with this coding challenge.,Confused
The instructions for this project are very vague.,Confused
"I am baffled by this error message, what does it mean?",Confused
Could someone clarify the difference between inheritance and polymorphism?,Confused
I'm having trouble understanding how to calculate this limit.,Confused
Why did the value change in this step of the calculation?,Confused
I don't understand how to set up the base case here.,Confused
I'm confused about when to use a list vs a dictionary.,Confused
How does this library optimize search queries under the hood?,Curious
Is there a more efficient way to solve this problem?,Curious
Can we apply this machine learning model to financial data?,Curious
What happens if I change the learning rate to a very high value?,Curious
I'd love to learn more about the history of this theorem.,Curious
Are there any real-world applications of quantum computing in this field?,Curious
I want to explore how this algorithm behaves with larger datasets.,Curious
What is the mathematical proof behind this approximation?,Curious
How does the browser parse this specific style attribute?,Curious
Can we combine these two design patterns in a single project?,Curious
I'm interested in reading the original research paper on this.,Curious
How do top companies handle this scaling challenge?,Curious
What is the difference between this implementation and the industry standard?,Curious
I wonder if we can use recursion instead of iteration here to make it cleaner.,Curious
How does memory management work for this data structure?,Curious
I've been stuck on this bug for five hours and I want to quit.,Frustrated
This code is throwing errors and nothing I do fixes it.,Frustrated
This compiler error makes absolutely no sense to me!,Frustrated
"I'm so annoyed with this assignment, it's taking way too long.",Frustrated
Nothing is working and I feel like pulling my hair out.,Frustrated
Why is this tool so hard to configure and set up?,Frustrated
I keep getting a syntax error but my syntax looks completely fine.,Frustrated
"This is incredibly frustrating, I've restarted three times.",Frustrated
I'm about to give up on this project entirely.,Frustrated
I've read the documentation ten times and I still don't get it.,Frustrated
"This environment setup is a nightmare, nothing is installing.",Frustrated
My code works on my local machine but fails on the autograder!,Frustrated
I am so sick of dealing with these merge conflicts.,Frustrated
This database connection keeps timing out and it's driving me crazy.,Frustrated
I've tried everything and it's still not working.,Frustrated
"Honestly, programming is so boring.",Bored
"honestly, programming is so boring",Bored
"Honestly, programming is so boring.!",Bored
"Honestly, honestly, programming is so boring.",Bored
"I feel like honestly, programming is so boring.",Bored
I can't pay attention to programming lectures at all.,Bored
i can't pay attention to programming lectures at all,Bored
I can't pay attention to programming lectures at all.!,Bored
"Honestly, i can't pay attention to programming lectures at all.",Bored
I feel like i can't pay attention to programming lectures at all.,Bored
Why do we study programming? It's just pointless memorization.,Bored
why do we study programming? it's just pointless memorization,Bored
Why do we study programming? It's just pointless memorization.!,Bored
"Honestly, why do we study programming? It's just pointless memorization.",Bored
I feel like why do we study programming? It's just pointless memorization.,Bored
Struggling to stay awake while studying programming.,Bored
struggling to stay awake while studying programming,Bored
